Date,Opening Price,Maximum Price,Minimum Price,Closing Price
26.09.2018,114800,114850,114790,114840
26.09.2018,114850,114880,114830,114880
26.09.2018,114880,114880,114820,114840
26.09.2018,114840,114880,114830,114860
26.09.2018,114870,114900,114840,114880
26.09.2018,114880,114900,114870,114890
26.09.2018,114880,114920,114880,114910
26.09.2018,114910,114980,114910,114920
26.09.2018,114930,114930,114870,114880
26.09.2018,114880,114920,114860,114900
26.09.2018,114890,114910,114880,114910
26.09.2018,114900,114900,114860,114870
26.09.2018,114860,114880,114830,114870
26.09.2018,114860,114910,114860,114880
26.09.2018,114880,114930,114870,114920
26.09.2018,114920,114930,114890,114910
26.09.2018,114920,114920,114900,114910
26.09.2018,114920,114950,114910,114940
26.09.2018,114940,114980,114920,114950
26.09.2018,114950,115080,114930,115060
26.09.2018,115060,115100,114980,114980
26.09.2018,114990,115040,114980,114990
26.09.2018,114990,115000,114930,114980
26.09.2018,114970,115000,114950,114990
26.09.2018,114990,115000,114940,114950
26.09.2018,114950,114960,114920,114950
26.09.2018,114960,114960,114920,114920
26.09.2018,114920,114930,114860,114870
26.09.2018,114870,114900,114830,114850
26.09.2018,114850,114850,114780,114790
26.09.2018,114780,114800,114700,114700
26.09.2018,114710,114790,114700,114760
26.09.2018,114770,114780,114750,114760
26.09.2018,114770,114870,114760,114860
26.09.2018,114850,114880,114820,114830
26.09.2018,114830,114870,114810,114850
26.09.2018,114860,114950,114850,114940
26.09.2018,114940,114950,114890,114900
26.09.2018,114890,114920,114870,114920
26.09.2018,114920,114930,114830,114840
26.09.2018,114830,114870,114830,114840
26.09.2018,114840,114850,114780,114790
26.09.2018,114800,114820,114770,114800
26.09.2018,114800,114810,114740,114750
26.09.2018,114750,114820,114740,114800
26.09.2018,114810,114930,114800,114860
26.09.2018,114860,114890,114840,114860
26.09.2018,114860,114870,114830,114840
26.09.2018,114840,114880,114840,114870
26.09.2018,114870,114900,114810,114820
26.09.2018,114830,114870,114770,114770
26.09.2018,114770,114790,114750,114770
26.09.2018,114770,114770,114710,114740
26.09.2018,114760,114760,114710,114720
26.09.2018,114720,114750,114650,114700
26.09.2018,114690,114740,114680,114700
26.09.2018,114700,114710,114660,114670
26.09.2018,114680,114720,114650,114710
26.09.2018,114700,114720,114670,114710
26.09.2018,114700,114810,114700,114780
26.09.2018,114780,114800,114700,114730
26.09.2018,114720,114750,114700,114740
26.09.2018,114740,114740,114660,114660
26.09.2018,114670,114690,114640,114640
26.09.2018,114640,114740,114630,114730
26.09.2018,114730,114780,114720,114770
26.09.2018,114760,114770,114750,114760
26.09.2018,114750,114780,114740,114780
26.09.2018,114780,114780,114730,114750
26.09.2018,114740,114770,114710,114760
26.09.2018,114760,114800,114740,114770
26.09.2018,114770,114790,114760,114780
26.09.2018,114780,114800,114750,114750
26.09.2018,114760,114810,114760,114790
26.09.2018,114800,114820,114780,114820
26.09.2018,114810,114820,114790,114800
26.09.2018,114810,114870,114800,114850
26.09.2018,114850,114890,114850,114880
26.09.2018,114890,114900,114860,114870
26.09.2018,114870,114900,114860,114870
26.09.2018,114870,114900,114870,114880
26.09.2018,114900,114900,114870,114880
26.09.2018,114870,114890,114840,114850
26.09.2018,114850,114870,114810,114810
26.09.2018,114810,114820,114720,114740
26.09.2018,114730,114740,114650,114650
26.09.2018,114660,114660,114590,114600
26.09.2018,114590,114660,114590,114640
26.09.2018,114640,114670,114630,114660
26.09.2018,114660,114690,114640,114680
26.09.2018,114670,114670,114620,114640
26.09.2018,114640,114670,114630,114670
26.09.2018,114670,114880,114660,114720
26.09.2018,114720,114900,114710,114820
26.09.2018,114770,114990,114720,114850
26.09.2018,114840,114890,114840,114890
26.09.2018,114880,114900,114820,114840
26.09.2018,114840,114840,114750,114770
26.09.2018,114770,114820,114770,114810
26.09.2018,114810,114820,114780,114780
26.09.2018,114780,114780,114740,114750
26.09.2018,114750,114760,114710,114730
26.09.2018,114720,114720,114680,114680
26.09.2018,114680,114710,114670,114710
26.09.2018,114690,114710,114680,114690
26.09.2018,114700,114720,114690,114690
26.09.2018,114690,114720,114690,114720
26.09.2018,114720,114730,114710,114730
26.09.2018,114720,114730,114700,114710
